City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,Lavrentiya,RU,48.88,overcast clouds,65.58,-171.0,
166,Turmalina,BR,53.51,scattered clouds,-17.29,-42.73,Hotel Cristal
168,Kurmanayevka,RU,57.54,clear sky,52.51,52.07,
169,Porto Murtinho,BR,64.94,clear sky,-21.7,-57.88,Hotel Pantanal
174,Bodo,NO,50.0,shower rain,67.28,14.4,Clarion Collection Hotel Grand Bod
175,Chuy,UY,53.69,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
176,Sokur,RU,59.0,clear sky,55.21,83.32,Gostinitsa Svetlana
177,Quesnel,CA,60.8,clear sky,53.0,-122.5,Ramada Limited Quesnel
179,Outlook,CA,68.09,scattered clouds,51.5,-107.05,Red Wheel Motel
181,Juneau,US,57.0,light rain,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
186,Puerto Baquerizo Moreno,EC,64.87,broken clouds,-0.9,-89.6,Hotel los Algarrobos
191,Santa Maria Do Suacui,BR,56.37,broken clouds,-18.19,-42.41,Hotel do Vavá
192,Borskoye,RU,57.9,clear sky,53.03,51.72,Sosnovyy Bor
194,Port Macquarie,AU,66.0,clear sky,-31.43,152.92,Rydges Port Macquarie
208,Alekseyevka,RU,58.05,clear sky,50.63,38.69,Apartment on Ploshchad Pobedy
215,San Miguel El Alto,MX,60.46,light rain,21.02,-102.35,El Campito de los Moreno
216,Sao Joao Da Barra,BR,63.55,clear sky,-21.64,-41.05,Pousada Porto De Canoas
217,Veshenskaya,RU,58.41,clear sky,49.63,41.73,Kazachiy Kuren Inn
218,Campos Novos,BR,46.13,clear sky,-27.4,-51.23,Hotel Corujão
222,Sitka,US,57.2,mist,57.05,-135.33,Westmark Sitka
223,Cidreira,BR,60.48,clear sky,-30.18,-50.21,Hotel Castelo
224,Yellowknife,CA,59.0,few clouds,62.46,-114.35,The Explorer Hotel
225,Kasempa,ZM,53.4,scattered clouds,-13.46,25.83,Miracle Guest House
226,Bonavista,CA,60.01,broken clouds,48.65,-53.11,Abbott's Bed & Breakfast
229,Tuatapere,NZ,60.01,clear sky,-46.13,167.68,Tom Cruse Refreshment Company
232,Csaszartoltes,HU,66.0,overcast clouds,46.42,19.18,Pincelakat Borház és Szálloda
234,Suzun,RU,62.98,scattered clouds,53.78,82.31,Elegant Lyuks
235,Klaksvik,FO,44.6,overcast clouds,62.23,-6.59,Geilin Bed & Breakfast
236,Svetlogorsk,BY,62.83,overcast clouds,52.63,29.73,Hotel Svetlogorsk JBIK
237,Northam,GB,60.01,moderate rain,51.03,-4.22,Durrant House Hotel
242,Larsnes,NO,48.0,light rain,62.2,5.58,Liset Feriesenter AS
245,Severo-Kurilsk,RU,54.64,broken clouds,50.68,156.12,Kak Doma
247,Zhezkazgan,KZ,62.6,broken clouds,47.8,67.71,Kvartiry Posutochno.
248,Rzhaksa,RU,55.53,few clouds,52.13,42.03,Gostinitsa Uyut
249,Ville-Marie,CA,62.6,broken clouds,47.33,-79.43,La Bannik
250,Verona,IT,66.0,broken clouds,45.42,11.03,Hotel Verona
254,New Norfolk,AU,48.99,light rain,-42.78,147.06,The Shingles Riverside Cottages
257,Oktyabrskoye,RU,46.4,clear sky,43.06,44.74,Prolesok Mini-hotel
258,Talara,PE,61.3,clear sky,-4.58,-81.27,Hostal Oro Negro
259,Belyy Yar,RU,64.4,overcast clouds,53.6,91.39,Pasportnyy Stol
261,Batagay,RU,48.4,scattered clouds,67.63,134.63,
262,Xuddur,SO,69.03,scattered clouds,4.12,43.89,Banjanay Hotel
264,Dunedin,NZ,53.01,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
265,San Cristobal,VE,66.16,light rain,7.77,-72.22,Pirineos
269,Vuktyl,RU,51.55,few clouds,63.86,57.31,Mini-Hotel Lokomotiv
273,Ucluelet,CA,60.01,overcast clouds,48.93,-125.55,Black Rock Oceanfront Resort
274,Codrington,AU,51.49,scattered clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
276,Flin Flon,CA,55.54,broken clouds,54.77,-101.86,Victoria Inn Flin Flon
278,Tignere,CM,61.86,light rain,7.37,12.65,SADECK
283,Swellendam,ZA,55.4,overcast clouds,-34.02,20.44,De Kloof Luxury Estate boutique Hotel & SPA
285,Bagdarin,RU,51.35,overcast clouds,54.43,113.6,Gostevoy Dom Terem
287,Mount Gambier,AU,48.2,drizzle,-37.83,140.77,Commodore on the Park
289,San Jeronimo,PE,48.16,few clouds,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
291,Oleksandrivka,UA,60.91,clear sky,48.96,32.23,Готель Тясмин
295,Saurimo,AO,61.38,clear sky,-9.66,20.39,Hotel Kawissa Saurimo
296,Berlevag,NO,54.1,overcast clouds,70.86,29.09,Kvitbrakka
297,Vytegra,RU,58.93,overcast clouds,61.01,36.45,Wardenclyffe Volgo&Balt
301,Asau,RO,62.01,light rain,46.43,26.4,Casa Mika Ciobanus
304,Polunochnoye,RU,52.45,clear sky,60.87,60.42,
305,Sisimiut,GL,44.2,scattered clouds,66.94,-53.67,Hotel Sisimiut
309,Geraldton,AU,62.6,clear sky,-28.77,114.6,Broadwater Mariner Resort
310,Flinders,AU,62.01,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
314,Menongue,AO,53.49,clear sky,-14.66,17.69,Ritz Lauca
315,Angoche,MZ,67.93,overcast clouds,-16.23,39.91,Guest House HESADA
318,Saint-Andre-Avellin,CA,66.99,overcast clouds,45.72,-75.07,Auberge Petite-Nation
320,Esperance,AU,59.0,scattered clouds,-33.87,121.9,Hospitality Esperance
323,Krasnoshchekovo,RU,63.79,overcast clouds,51.67,82.73,Viro гостиница
324,Pandamatenga,BW,54.36,clear sky,-18.53,25.63,Wildtrack Safaris Eco Lodge
327,Ossora,RU,53.83,overcast clouds,59.24,163.07,
330,Reconquista,AR,59.94,clear sky,-29.15,-59.65,Grand Hotel
331,Beisfjord,NO,50.0,overcast clouds,68.38,17.6,
332,Nanortalik,GL,42.37,scattered clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
335,Tingo Maria,PE,67.03,few clouds,-9.29,-76.01,Hospedaje Paraíso
337,Ngunguru,NZ,57.99,light rain,-35.62,174.5,Pacific Rendezvous Motel Resort
341,Irbeyskoye,RU,61.5,overcast clouds,55.64,95.45,"Gostinitsa ""Agul"""
342,Kargopol,RU,58.03,overcast clouds,61.51,38.95,Moroshka Inn
343,Sambava,MG,68.11,scattered clouds,-14.27,50.17,Melrose
344,Zyryanka,RU,44.98,overcast clouds,65.75,150.85,Zyryanka
345,Alekseyevsk,RU,68.09,clear sky,57.84,108.35,
347,Beringovskiy,RU,54.95,scattered clouds,63.05,179.32,Beringgorski
348,Coquimbo,CL,55.4,overcast clouds,-29.95,-71.34,Hotel San Juan
351,Naushki,RU,62.26,broken clouds,50.38,106.11,
352,Gunnedah,AU,55.4,scattered clouds,-30.98,150.25,Gunnedah Motor Inn
353,Ikryanoye,RU,59.0,scattered clouds,46.09,47.73,Hotel Magnolia
355,Inhambane,MZ,63.28,clear sky,-23.86,35.38,Oceano
356,Katakwi,UG,64.33,overcast clouds,1.89,33.97,Ebenezer Guest House
362,Hofn,IS,48.29,overcast clouds,64.25,-15.21,Hótel Höfn
366,Urazovo,RU,57.81,clear sky,50.08,38.04,Dvuluchenskiy Tskr
367,Paita,PE,61.3,clear sky,-5.09,-81.11,Hotel Náutico de Paita
369,Zheleznodorozhnyy,RU,61.0,overcast clouds,55.75,38.0,Hotel Dali
370,Hvolsvollur,IS,44.01,scattered clouds,63.75,-20.22,Aurora Lodge Hotel
372,Tocopilla,CL,59.04,scattered clouds,-22.09,-70.2,Hotel Galvarino
373,Vardo,NO,53.6,scattered clouds,70.37,31.11,Vardø Hotel AS
374,Agronom,RU,60.01,clear sky,45.14,39.19,База Отдыха Дубрава
375,Kargasok,RU,57.02,overcast clouds,59.06,80.86,Hotel Kargasok
376,Wasilla,US,61.0,light rain,61.58,-149.44,Alaska's Select Inn Wasilla
377,Talaya,RU,42.33,overcast clouds,61.38,152.75,
378,Kabinda,CD,68.58,overcast clouds,-6.13,24.48,Village Mianda Mutole
379,Oksovskiy,RU,58.15,overcast clouds,62.61,39.9,Hotel Severoonezhsk
380,Svetlaya,RU,67.8,overcast clouds,46.54,138.33,
383,Constitucion,CL,50.65,overcast clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
387,Koshki,RU,57.47,clear sky,54.21,50.47,
388,Khandyga,RU,57.63,overcast clouds,62.67,135.6,Apel'sin
389,Karlskoga,SE,55.99,clear sky,59.33,14.52,Hotel Alfred Nobel
391,Saldanha,ZA,50.0,overcast clouds,-33.01,17.94,Blue Bay Lodge
395,Macamic,CA,64.4,few clouds,48.75,-79.0,"Maison Tardif Enr. - Auberge à Macamic, QC"
396,Naujamiestis,LT,57.2,clear sky,55.69,24.15,"Country house ""KRIVIJA"""
397,Raudeberg,NO,48.0,light rain,61.99,5.14,Nordre Silda.
398,Magog,CA,69.01,broken clouds,45.27,-72.15,Auberge du Grand Lac
399,Rauma,FI,55.4,light rain,61.13,21.51,Kalliohovi Hotel
400,Marinha Grande,PT,64.99,scattered clouds,39.75,-8.93,Hotel Cristal Marinha
407,Raga,SS,67.73,overcast clouds,8.46,25.68,
408,Normandin,CA,62.6,scattered clouds,48.83,-72.53,Chambres MB Normandin (Lac St -Jean)
409,Roald,NO,48.2,light rain,62.58,6.13,Flem Cabins
415,Baie-Saint-Paul,CA,61.0,clear sky,47.44,-70.5,Hôtel Baie-Saint-Paul
419,Heihe,CN,66.2,scattered clouds,50.24,127.49,Hotel Druzhba
420,Pangnirtung,CA,45.43,overcast clouds,66.15,-65.71,Kilabuk Lodge
422,Oktyabrskiy,RU,57.02,scattered clouds,54.48,53.47,Уязы-Тау гостиница
423,Abay,KZ,55.4,overcast clouds,49.63,72.85,Guest House on Abaya 144
424,Podolsk,RU,61.0,overcast clouds,55.42,37.55,Hotel Pahra
426,Ilhabela,BR,61.99,clear sky,-23.78,-45.36,Ilha Flat Hotel
430,Taree,AU,62.01,clear sky,-31.9,152.47,All Seasons Country Lodge Taree
433,Purpe,RU,60.01,broken clouds,64.48,76.69,Gostinitsa Severnoye Siyaniye
434,Broadstairs,GB,60.01,overcast clouds,51.36,1.44,Royal Albion Hotel
437,Malazgirt,TR,54.75,clear sky,39.14,42.54,malazgirt otel
439,Timiryazevskiy,RU,57.99,broken clouds,56.49,84.88,Forum
440,Turayf,SA,68.0,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
441,Chapais,CA,53.6,clear sky,49.78,-74.85,Hôtel Opémiska
446,Xining,CN,63.84,few clouds,36.62,101.77,Super Leisure Hotel
448,Vestmannaeyjar,IS,51.76,scattered clouds,63.44,-20.27,Glamping & Camping
449,Mikhaylovka,RU,57.6,clear sky,50.06,43.24,5 Komnat
450,Alihe,CN,66.74,overcast clouds,50.57,123.72,Alihe Forestry Hotel
452,Ak-Dovurak,RU,59.97,overcast clouds,51.18,90.6,"Gostinitsa ""Cheleesh"""
455,Calama,CL,55.4,broken clouds,-22.47,-68.93,Park Hotel Calama
459,Quelimane,MZ,61.75,clear sky,-17.88,36.89,Hotel Flamingo
460,Hanna,CA,64.0,overcast clouds,51.63,-111.9,"West View Motel, Hanna, AB"
462,Rovaniemi,FI,48.2,clear sky,66.5,25.72,Santa's Hotel Santa Claus
464,Port Hardy,CA,60.8,broken clouds,50.7,-127.42,Airport Inn
466,Divnomorskoye,RU,63.7,clear sky,44.5,38.14,Primorskiy
467,Imbituba,BR,59.0,scattered clouds,-28.24,-48.67,Praia Hotel Imbituba
468,Fort Nelson,CA,59.0,broken clouds,58.81,-122.7,The Fort Nelson Hotel
469,Baie-Comeau,CA,59.0,overcast clouds,49.22,-68.15,Travelodge by Wyndham Baie Comeau
471,El Chimbo,HN,65.25,light rain,14.13,-87.12,Eco-Hotel Shangri-La
474,Pljevlja,ME,62.6,light rain,43.33,19.33,Hotel Franca
476,Bialogard,PL,57.0,scattered clouds,54.01,15.99,"""100-SIO"" Apartamenty w Białogardzie"
477,Luena,AO,58.3,overcast clouds,-11.78,19.92,Hotel Kandamba
478,Havre-Saint-Pierre,CA,53.6,overcast clouds,50.23,-63.6,Auberge Niapiskau
479,Okha,RU,61.61,scattered clouds,53.57,142.95,Империя
481,Nizhniy Odes,RU,54.73,overcast clouds,63.64,54.86,
482,Aja,EG,67.3,clear sky,30.94,31.29,Apple store Aga - ابل استور باجا صيانه سوفت وير
