City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
74,Takoradi,GH,4.88,-1.76,72.86,72.86,90,32,8.79,scattered clouds
75,Bardiyah,LY,31.76,25.09,73.8,73.8,82,0,6.89,clear sky
76,Ostrovnoy,RU,68.05,39.51,55.81,55.81,87,5,18.81,clear sky
77,Vao,NC,-22.67,167.48,70.39,70.39,70,66,12.33,broken clouds
78,Hermanus,ZA,-34.42,19.23,55.0,55.0,95,100,7.45,overcast clouds
79,Barrow,US,71.29,-156.79,46.4,46.4,75,1,9.17,clear sky
80,Meulaboh,ID,4.14,96.13,84.49,84.49,70,12,5.19,few clouds
81,Culleredo,ES,43.29,-8.39,59.0,53.01,93,0,2.24,clear sky
82,Victoria,HK,22.29,114.16,91.0,87.01,66,0,4.0,clear sky
83,Mut,TR,36.64,33.44,68.68,68.68,42,0,4.7,clear sky
84,Bengkulu,ID,-3.8,102.27,85.51,85.51,61,45,5.99,scattered clouds
85,Grafton,US,42.21,-71.69,68.0,64.99,88,75,5.32,light rain
86,Tuktoyaktuk,CA,69.45,-133.04,68.0,68.0,60,75,10.29,broken clouds
87,Kollam,IN,8.88,76.6,84.2,84.2,74,20,5.82,haze
88,Whitehorse,CA,60.72,-135.05,60.8,55.0,77,75,3.36,shower rain
89,Bambous Virieux,MU,-20.34,57.76,72.0,71.6,73,40,16.11,scattered clouds
90,Biltine,TD,14.53,20.92,75.74,75.74,83,96,5.95,light rain
91,Kurilsk,RU,45.23,147.88,65.68,65.68,65,92,2.24,overcast clouds
92,Mahebourg,MU,-20.41,57.7,71.6,71.6,73,40,16.11,scattered clouds
93,Mar Del Plata,AR,-38.0,-57.56,51.01,50.0,81,46,11.41,scattered clouds
94,Novokizhinginsk,RU,51.61,109.59,56.88,56.88,85,100,6.31,light rain
95,Lebu,CL,-37.62,-73.65,50.5,50.5,91,100,17.87,light rain
96,Umm Lajj,SA,25.02,37.27,81.28,81.28,52,0,6.93,clear sky
97,Hithadhoo,MV,-0.6,73.08,82.29,82.29,80,99,13.38,moderate rain
98,Kapaa,US,22.08,-159.32,86.0,81.0,66,20,12.75,few clouds
99,Ust-Ishim,RU,57.69,71.17,53.13,53.13,92,99,6.26,overcast clouds
100,Namibe,AO,-15.2,12.15,63.73,63.73,92,96,1.01,overcast clouds
101,Lakhdenpokhya,RU,61.52,30.2,59.0,59.0,93,71,5.82,broken clouds
102,Frederico Westphalen,BR,-27.36,-53.39,55.99,52.0,86,0,5.08,clear sky
103,Sanmenxia,CN,34.77,111.18,80.4,80.4,59,100,14.09,overcast clouds
